name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"30.183, -97.68",2022-04-29,84.8,70.1,75.8,88.2,70.1,76.6,66.9,75.2,0,0,0,rain,0,0,32.2,20.8,171.8,1008.3,85.4,9.8,112,9.6,4,100,2022-04-29T06:49:19,2022-04-29T20:07:15,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-04-30,89,71,78.6,93.6,71,79.9,68.9,73.7,0,0,0,rain,0,0,32,15,166.8,1009.1,75,9.9,214.9,18.6,8,100,2022-04-30T06:48:24,2022-04-30T20:07:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-01,86.1,71.9,78.3,89.6,71.9,79.4,69,74.8,0.039,100,4.17,rain,0,0,24.6,15,129.5,1012,95.4,9.2,166.2,14.2,7,100,2022-05-01T06:47:31,2022-05-01T20:08:33,0.03,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2022-05-02,83,70.1,78,86.1,70.1,78.9,68,71.8,0,0,0,rain,0,0,34.4,20.8,173.1,1009.2,92.5,9.9,110.6,9.5,5,75,2022-05-02T06:46:38,2022-05-02T20:09:12,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"C2969,72254013904"
"30.183, -97.68",2022-05-03,89.9,74,80.1,95.4,74,81.9,70.8,74.9,0,0,0,rain,0,0,29.5,16.1,158,1010.3,72.9,9.8,180,15.5,7,100,2022-05-03T06:45:47,2022-05-03T20:09:51,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-04,88.1,71.9,79.4,92.9,71.9,80.9,69.3,73.1,0,0,0,rain,0,0,34.4,23,153.3,1010.6,93.3,9.9,180.3,15.5,8,100,2022-05-04T06:44:56,2022-05-04T20:10:31,0.13,Overcast,Cloudy skies throughout the day.,cloudy,"C2969,72254013904"
"30.183, -97.68",2022-05-05,86.1,70.1,76.9,93.3,70.1,78.7,71.4,84.1,0.126,100,20.83,rain,0,0,57.5,23,174,1008.7,76.3,9.6,107.8,9.4,6,100,2022-05-05T06:44:07,2022-05-05T20:11:10,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"C2969,72254013904"
"30.183, -97.68",2022-05-06,92.9,60.2,76.7,99.1,60.2,79.4,66.8,75.3,0,0,0,rain,0,0,27.7,13.9,176.8,1009.9,32.5,9.3,254.5,22.1,9,100,2022-05-06T06:43:18,2022-05-06T20:11:49,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-07,95.1,73.1,83,102.6,73.1,86.4,71.9,72,0,0,0,,0,0,32.2,18.3,174.1,1005.9,23.8,9.1,262.3,22.6,8,100,2022-05-07T06:42:31,2022-05-07T20:12:28,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KAUS,C2969,72254013904"
"30.183, -97.68",2022-05-08,95.1,74,82.9,102.6,74,85.9,71.2,70,0,0,0,,0,0,32,19.7,173.1,1004.1,48.3,9.4,255.5,22,8,100,2022-05-08T06:41:45,2022-05-08T20:13:07,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-09,92.9,74.9,83.2,100.8,74.9,86.9,72.1,71.4,0,0,0,rain,0,0,34.4,20.8,163,1006.9,70.4,9.9,214.6,18.4,7,100,2022-05-09T06:41:00,2022-05-09T20:13:46,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-10,91.1,75.8,82.4,98.6,75.8,85,71.8,72.1,0,0,0,rain,0,0,29.3,21.9,156.7,1013.8,75.4,9.9,185.8,16.1,7,100,2022-05-10T06:40:16,2022-05-10T20:14:25,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,C2969,72254013904"
"30.183, -97.68",2022-05-11,92,69.2,79.9,96.4,69.2,81.4,68.3,70.7,0,0,0,rain,0,0,25.9,17.2,163.1,1017.1,69.6,9.2,228.2,19.8,7,75,2022-05-11T06:39:34,2022-05-11T20:15:04,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-12,92,65.9,78.6,94.3,65.9,79.5,66.4,70,0,0,0,rain,0,0,24.4,17.2,169.8,1014.5,44.6,9.1,260.7,22.6,9,60,2022-05-12T06:38:53,2022-05-12T20:15:43,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-13,88.1,61.1,77.1,89.5,61.1,77.7,64.5,68.7,0,0,0,rain,0,0,25.1,17.2,176.9,1011.4,54.2,9.8,224.6,19.3,7,75,2022-05-13T06:38:12,2022-05-13T20:16:22,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-14,92,68.1,80.7,94.8,68.1,81.9,66.3,65,0,0,0,rain,0,0,26.4,15,173.8,1012.3,64.2,9.9,267.2,23.2,9,100,2022-05-14T06:37:34,2022-05-14T20:17:01,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-15,93.8,66.8,80.2,95.3,66.8,81,65.2,64.4,0,0,0,,0,0,28.9,15,176.5,1011.9,35,9.9,280.3,24.2,9,100,2022-05-15T06:36:56,2022-05-15T20:17:39,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-16,96.2,71,82.1,94.7,71,82.1,64.6,60.8,0,0,0,,0,0,28.4,13.9,164,1012.4,63.8,9.9,267.7,23,9,75,2022-05-16T06:36:20,2022-05-16T20:18:18,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-17,95.1,71,81.5,95.5,71,81.9,65.3,62.5,0,0,0,,0,0,31.8,17.2,175.9,1012.2,60.8,9.9,282.5,24.6,9,60,2022-05-17T06:35:45,2022-05-17T20:18:56,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-18,97.1,70.1,82.2,96.9,70.1,82.6,65.5,62.4,0,0,0,rain,0,0,31.5,21.9,183.7,1010.4,55.8,9.9,241.6,20.9,8,60,2022-05-18T06:35:11,2022-05-18T20:19:34,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-19,95.1,71,82,96.5,71,82.9,66.8,63.8,0,0,0,rain,0,0,33.8,21.9,178.5,1006.3,44.2,9.8,275,23.8,8,38,2022-05-19T06:34:39,2022-05-19T20:20:11,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-20,93.8,74.9,82.5,100.8,74.9,85.5,70.8,69.3,0,0,0,rain,0,0,34.7,23,171.2,1002.5,87.5,7.6,185.3,16,7,100,2022-05-20T06:34:08,2022-05-20T20:20:49,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-21,98,74.9,84.9,103.5,74.9,88,70.7,66,0,0,0,rain,0,0,38,18.3,162.9,1008.2,75.8,8.4,233.6,20.1,8,100,2022-05-21T06:33:38,2022-05-21T20:21:26,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,C2969,72254013904"
"30.183, -97.68",2022-05-22,80.9,62.9,71.4,82.1,62.9,71.5,60.1,68.4,0.189,100,12.5,rain,0,0,36.7,24.2,25.4,1018.2,80.8,9.7,223.9,19.3,7,10,2022-05-22T06:33:10,2022-05-22T20:22:03,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2022-05-23,87.2,66.8,75.4,89,66.8,76,64.7,71.6,0,0,0,rain,0,0,18.6,12.8,103.7,1014.7,83.3,8.8,184.9,16.1,8,75,2022-05-23T06:32:43,2022-05-23T20:22:39,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904,72254413958"
"30.183, -97.68",2022-05-24,84.8,71.9,78.7,85.7,71.9,79.2,65.9,66.8,0,0,0,rain,0,0,31.1,16.1,138.8,1006,84.6,9.7,204.3,17.3,7,60,2022-05-24T06:32:18,2022-05-24T20:23:15,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-25,82.1,61.1,69.1,81,61.1,68.9,55.9,68.6,1.039,100,16.67,rain,0,0,60.8,20.8,323.2,1010.2,49.6,9.1,286.3,24.7,9,10,2022-05-25T06:31:54,2022-05-25T20:23:51,0.83,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2022-05-26,95.1,55.1,75.2,92.9,55.1,74.7,57,59.9,0,0,0,,0,0,19.7,11.4,217.9,1013.3,8.8,9.9,289.3,25,9,30,2022-05-26T06:31:31,2022-05-26T20:24:26,0.87,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2022-05-27,96.2,64.1,80.1,96.9,64.1,80.9,63.9,63.5,0,0,0,,0,0,13,9.2,119,1014.1,15.8,9.9,284.2,24.6,9,100,2022-05-27T06:31:10,2022-05-27T20:25:00,0.9,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2022-05-28,95.1,65,81.4,96.5,65,82.6,65.8,63.3,0,0,0,rain,0,0,30.4,17.2,174.2,1010.1,36.3,9.4,270.4,23.4,9,75,2022-05-28T06:30:50,2022-05-28T20:25:35,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-29,95.1,74,82.8,97.4,74,84.5,68.6,65.6,0,0,0,rain,0,0,39.1,21.9,169.6,1005.4,50,9.9,284.4,24.6,9,75,2022-05-29T06:30:32,2022-05-29T20:26:08,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-30,93.8,74.9,83.1,96.9,74.9,84.8,68.9,64.9,0,0,0,rain,0,0,37.8,24.2,167.8,1005.8,68.8,9.9,293.1,25.4,10,75,2022-05-30T06:30:15,2022-05-30T20:26:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-05-31,95.1,74.9,84.5,100.2,74.9,87.2,70,64.8,0,0,0,rain,0,0,33.3,20.8,158.2,1009.2,50.8,9.9,258.7,22.4,10,100,2022-05-31T06:29:59,2022-05-31T20:27:14,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-01,91.1,77.1,83.6,99.9,77.1,86.8,71.9,69.4,0,0,0,rain,0,0,23.7,19.7,148.9,1011.4,72.5,9.8,235.9,20.3,9,100,2022-06-01T06:29:45,2022-06-01T20:27:46,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-02,91.1,71.9,80.6,94.4,71.9,81.8,68.4,68.8,0,0,0,rain,0,0,33.3,19.7,52.2,1012.6,55,9.9,254.7,22,9,60,2022-06-02T06:29:32,2022-06-02T20:28:17,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-03,89.9,68.1,80.2,91.4,68.1,81,65.3,62.8,0.012,100,4.17,rain,0,0,31.1,11.4,42.4,1011.6,63.8,9.9,236.4,20.2,8,30,2022-06-03T06:29:21,2022-06-03T20:28:47,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"C2969,72254013904"
"30.183, -97.68",2022-06-04,92,68.1,79.1,94.3,68.1,80.3,66.4,68.1,0.012,100,4.17,rain,0,0,18.8,15,67.6,1009.1,60,9.9,255.8,22,9,75,2022-06-04T06:29:11,2022-06-04T20:29:17,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"C2969,72254013904"
"30.183, -97.68",2022-06-05,97.1,66.8,82.3,101.4,66.8,84.5,67,63.5,0,0,0,,0,0,36.7,20.8,164.9,1005.6,48.8,9.9,267.5,23.2,9,100,2022-06-05T06:29:02,2022-06-05T20:29:46,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-06,101,75.8,85.9,105.6,75.8,88.6,69.8,62.6,0,0,0,rain,0,0,35.6,21.9,172.5,1004.3,50.4,9.9,278,24.1,9,100,2022-06-06T06:28:55,2022-06-06T20:30:15,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-07,98.9,77.1,85.9,103.6,77.1,88.4,69.4,61.5,0,0,0,rain,0,0,31.1,19.7,170.3,1007.2,47.1,9.9,282,24.4,9,75,2022-06-07T06:28:50,2022-06-07T20:30:42,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-08,98,75.8,85.8,101.8,75.8,87.9,69.2,61.3,0,0,0,rain,0,0,31.1,18.3,168.6,1010.4,61.7,9.9,272.5,23.6,9,60,2022-06-08T06:28:45,2022-06-08T20:31:09,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-09,98,74.9,85.7,101.2,74.9,88.4,69.9,63.2,0,0,0,,0,0,23.5,17.2,173,1013.1,43.8,9.8,272.1,23.5,9,75,2022-06-09T06:28:43,2022-06-09T20:31:34,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-10,100.1,74.9,86.3,102.4,74.9,88.6,68.7,60.8,0,0,0,rain,0,0,23,16.1,195.4,1010.8,27.9,9.9,283.7,24.6,9,75,2022-06-10T06:28:41,2022-06-10T20:31:59,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-11,101,74.9,88.3,103.2,74.9,90.8,68.3,56.5,0,0,0,,0,0,26.4,15,183.3,1008.8,53.3,9.9,275.8,23.8,8,100,2022-06-11T06:28:41,2022-06-11T20:32:23,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-12,101.9,75.8,88.1,105.3,75.8,91.5,70.2,61,0,0,0,rain,0,0,29.8,19.7,184.6,1009,47.9,9.5,281.6,24.2,9,100,2022-06-12T06:28:42,2022-06-12T20:32:46,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-13,100.1,75.8,86.8,100.9,75.8,89.1,69.4,61.5,0,0,0,rain,0,0,36.7,21.9,172.2,1011.2,52.1,9,287.9,24.8,10,75,2022-06-13T06:28:45,2022-06-13T20:33:08,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-14,97.1,77.1,85.8,99.5,77.1,88.2,69.6,62.2,0,0,0,rain,0,0,42.5,25.3,166.3,1011.8,77.9,9.6,255,21.9,8,75,2022-06-14T06:28:48,2022-06-14T20:33:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-15,95.1,78.2,85.7,100,78.2,88.6,70.4,62.7,0,0,0,rain,0,0,29.8,17.2,173.1,1013.4,88.8,9.9,186,15.9,7,75,2022-06-15T06:28:54,2022-06-15T20:33:48,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-16,100.1,73.1,86.6,100.3,73.1,87.7,66.8,57.6,0,0,0,,0,0,29.8,15,158,1015.8,61.3,9.5,274.1,23.7,9,60,2022-06-16T06:29:00,2022-06-16T20:34:07,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-17,98,71.9,85.5,101.2,71.9,87.2,66.8,57,0,0,0,,0,0,20.6,13.9,146.3,1014.9,21.3,9.2,251.6,21.7,8,30,2022-06-17T06:29:08,2022-06-17T20:34:25,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-18,97.1,71,85.3,99.5,71,86.7,65.6,56,0,0,0,,0,0,22.8,12.8,172,1014.1,25,9.9,282,24.3,9,60,2022-06-18T06:29:17,2022-06-18T20:34:41,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-19,98.9,70.1,86.2,100.9,70.1,88.1,67,57.6,0,0,0,,0,0,21.7,13.9,165.4,1014.7,33.3,9.9,267.8,23.2,9,75,2022-06-19T06:29:27,2022-06-19T20:34:56,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-20,100.1,69.2,86.1,101.3,69.2,87.7,65.6,55.2,0,0,0,,0,0,22.6,12.8,166.4,1015.6,42.9,9.9,268.1,23.3,8,100,2022-06-20T06:29:38,2022-06-20T20:35:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-21,98.9,74,87.2,102.3,74,90.3,68.3,57,0,0,0,rain,0,0,33.3,21.9,150.7,1017.4,56.7,9.8,246.9,21.3,8,100,2022-06-21T06:29:51,2022-06-21T20:35:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-22,97.1,71.9,85.6,100.1,71.9,88.1,68.6,61.2,0,0,0,,0,0,19,10.3,170.8,1017.3,34.2,9.9,236.1,20.3,8,75,2022-06-22T06:30:04,2022-06-22T20:35:35,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-23,101,71.9,87.6,101.3,71.9,88.5,63.9,49.9,0,0,0,,0,0,24.4,11.4,181.4,1013.6,13.8,9.8,275.3,23.6,8,60,2022-06-23T06:30:19,2022-06-23T20:35:45,0.82,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2022-06-24,100.1,70.1,87.1,101.3,70.1,88.3,65.1,53,0,0,0,,0,0,25.7,15,175.7,1011.6,20,9.9,279.7,24.1,8,30,2022-06-24T06:30:35,2022-06-24T20:35:54,0.85,Clear,Partly cloudy throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2022-06-25,98.9,71.9,86.9,98.3,71.9,87.4,64.4,53.1,0,0,0,,0,0,24.6,15,180.2,1013.1,28.3,9.9,280,24.4,9,60,2022-06-25T06:30:52,2022-06-25T20:36:02,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-26,101,70.1,86.4,100.4,70.1,87.4,64.9,54.7,0,0,0,,0,0,26.8,13.9,157.1,1016.1,35,9.8,278.8,24.1,8,75,2022-06-26T06:31:10,2022-06-26T20:36:08,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-27,98.9,71,81.9,104.7,71,83.7,68.8,67.4,1.393,100,25,rain,0,0,45.9,19.7,25,1017.8,62.9,9.6,184,16,8,75,2022-06-27T06:31:30,2022-06-27T20:36:13,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KAUS,C2969,72254013904"
"30.183, -97.68",2022-06-28,89.9,71.9,80.1,97,71.9,82.4,70.7,75.3,0.071,100,4.17,rain,0,0,32.2,16.1,32.6,1018.3,87.1,9.9,164.5,14.3,5,100,2022-06-28T06:31:50,2022-06-28T20:36:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KAUS,C2969,72254013904"
"30.183, -97.68",2022-06-29,96.2,68.1,82.9,95.5,68.1,83.4,61.6,51.9,0,0,0,,0,0,15.2,11.4,20.7,1017.4,41.7,9.9,286,24.8,9,30,2022-06-29T06:32:11,2022-06-29T20:36:19,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-06-30,95.1,71.9,83.8,100.9,71.9,86.2,69.6,66.2,0,0,0,,0,0,19.2,13.9,99.7,1014.8,31.3,9.7,274.9,23.7,9,75,2022-06-30T06:32:33,2022-06-30T20:36:20,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-01,92.9,71.9,83.9,98.3,71.9,87,70,65.4,0,0,0,,0,0,15.4,11.4,118,1012.3,50,9.9,278.8,23.9,9,75,2022-07-01T06:32:56,2022-07-01T20:36:20,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-02,98.9,77.1,86.9,102.5,77.1,90.1,70.9,63.9,0,0,0,rain,0,0,25.3,16.1,175.2,1011.5,51.3,9.4,282.5,24.4,9,100,2022-07-02T06:33:20,2022-07-02T20:36:18,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-03,98.9,77.1,87.3,102.4,77.1,90.6,70.6,62,0,0,0,,0,0,29.8,15,167.6,1013.8,64.2,9.9,298.4,25.6,9,100,2022-07-03T06:33:44,2022-07-03T20:36:15,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-04,98.9,74.9,86.7,102.3,74.9,89.2,70,62.2,0,0,0,rain,0,0,25.7,18.3,171.9,1014.9,57.9,9.9,280.5,24,9,75,2022-07-04T06:34:10,2022-07-04T20:36:10,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-05,98.9,77.1,87.2,103.6,77.1,90,70,60.9,0,0,0,rain,0,0,29.8,17.2,179.3,1013.9,35.8,9.9,276.4,23.8,9,60,2022-07-05T06:34:36,2022-07-05T20:36:04,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-06,100.1,74.9,87.3,103.5,74.9,90.3,69.9,61.1,0,0,0,,0,0,23.5,17.2,179.5,1012.8,40,9.9,275.1,23.8,9,60,2022-07-06T06:35:03,2022-07-06T20:35:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-07,98.9,73.1,87.1,102.3,73.1,90,69.3,59.8,0,0,0,,0,0,23.3,13.9,176.9,1013.1,44.2,9.9,282.4,24.3,9,60,2022-07-07T06:35:31,2022-07-07T20:35:47,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-08,101,75.8,88.1,105.6,75.8,91.5,70.4,60.4,0,0,0,,0,0,22.6,13.9,186.4,1014.6,31.2,9.9,282,24.2,9,75,2022-07-08T06:35:59,2022-07-08T20:35:37,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KAUS,C2969,72254013904"
"30.183, -97.68",2022-07-09,104.1,75.8,89.6,106.5,75.8,91.8,67.2,52.6,0,0,0,,0,0,23.7,12.8,180.8,1015.2,23.3,9.9,279.5,24.1,9,60,2022-07-09T06:36:29,2022-07-09T20:35:25,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-10,105.2,74,90.2,109.9,74,93.5,67.4,50.2,0,0,0,,0,0,21.7,15,197,1012.1,48.8,9.9,242.9,20.8,9,75,2022-07-10T06:36:58,2022-07-10T20:35:12,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-11,104.1,75.8,90.7,109.3,75.8,94.9,68.7,51.8,0,0,0,rain,0,0,21.7,12.8,203.1,1008.5,43.8,9.9,224.4,19.5,8,75,2022-07-11T06:37:29,2022-07-11T20:34:57,0.43,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-12,105.2,77.1,90.7,109.9,77.1,94.6,69.3,53.8,0,0,0,rain,0,0,24.8,16.1,157.6,1009.6,41.3,9.9,282.5,24.4,8,60,2022-07-12T06:38:00,2022-07-12T20:34:40,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-13,104.1,77.1,90.3,107.4,77.1,94.1,69.3,54.9,0,0,0,,0,0,24.6,17.2,160.6,1012.3,40.4,9.9,256.4,21.9,8,100,2022-07-13T06:38:31,2022-07-13T20:34:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-14,100.1,74.9,85.4,104.5,74.9,88.7,70.2,63.2,0.012,100,4.17,rain,0,0,42.5,16.1,160,1014.8,31.3,9.9,241.7,20.9,8,100,2022-07-14T06:39:03,2022-07-14T20:34:03,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"C2969,72254013904"
"30.183, -97.68",2022-07-15,96.2,70.1,82.5,99.7,70.1,85.2,70.3,70.2,0,0,0,,0,0,31.1,20.8,139.8,1015.9,44.2,9.9,233.1,20.1,8,75,2022-07-15T06:39:35,2022-07-15T20:33:43,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-16,98,73.1,85.3,101.8,73.1,87.7,69.3,63.2,0,0,0,,0,0,23.5,17.2,176.5,1014.4,50.8,9.9,271.7,23.4,8,60,2022-07-16T06:40:08,2022-07-16T20:33:20,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-17,101.9,73.1,87.6,100.4,73.1,87.7,63,50.2,0,0,0,,0,0,29.8,16.1,180.5,1012.7,57.5,9.7,268,23.2,9,10,2022-07-17T06:40:42,2022-07-17T20:32:57,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-18,101.9,73.1,87.8,102.9,73.1,89.5,66.6,54.9,0,0,0,,0,0,31.1,18.3,184.3,1012.5,35.8,9.9,275.6,23.9,9,60,2022-07-18T06:41:15,2022-07-18T20:32:32,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2022-07-19,102.8,74.9,88.6,105,74.9,91.4,68.8,57.2,0,0,0,,0,0,29.8,18.3,183.2,1011.6,10,9.9,282.3,24.2,9,75,2022-07-19T06:41:49,2022-07-19T20:32:05,0.7,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
